,ipb50001n,unrate,fedfunds,gdpc1,ipb50001nSA,indpro
1970-01-01,39.2067,4.166666667,8.573333333,4936.594,38.91552,38.9981
1970-04-01,39.7414,4.766666667,7.88,4943.6,38.7182,38.7269
1970-07-01,39.5182,5.166666667,6.703333333,4989.159,38.84435,38.4856
1970-10-01,37.214,5.833333333,5.566666667,4935.693,37.85291,38.3482
1971-01-01,38.735,5.933333333,3.856666667,5069.746,38.48981,38.5278
1971-04-01,40.1111,5.9,4.563333333,5097.179,38.85887,39.104
1971-07-01,40.5501,6.033333333,5.473333333,5139.128,39.24096,39.3942
1971-10-01,38.9027,5.933333333,4.75,5151.245,39.89528,40.3177
1972-01-01,41.9449,5.766666667,3.54,5245.974,41.3943,41.9746
1972-04-01,43.5745,5.7,4.3,5365.045,42.43016,42.5166
1972-07-01,44.3681,5.566666667,4.74,5415.712,42.98126,43.3918
1972-10-01,44.2846,5.366666667,5.143333333,5506.396,44.69643,45.0015
1973-01-01,46.1086,4.933333333,6.536666667,5642.669,45.73158,45.9872
1973-04-01,47.3983,4.933333333,7.816666667,5704.098,46.16142,46.2509
1973-07-01,47.6561,4.8,10.56,5674.1,46.40982,46.7803
1973-10-01,46.3012,4.766666667,9.996666667,5727.96,47.00151,47.2315
1974-01-01,46.8152,5.133333333,9.323333333,5678.713,46.90875,46.7685
1974-04-01,48.0298,5.2,11.25,5692.21,46.94723,46.9233
1974-07-01,47.4209,5.633333333,12.09,5638.411,46.533,46.5136
1974-10-01,42.7733,6.6,9.346666667,5616.526,44.669,43.234
1975-01-01,41.2214,8.266666667,6.303333333,5548.156,42.07491,41.2135
1975-04-01,42.3338,8.866666667,5.42,5587.8,41.42374,41.4224
1975-07-01,43.5514,8.466666667,6.16,5683.444,42.14392,42.7796
1975-10-01,43.0334,8.3,5.413333333,5759.972,43.05534,43.5973
1976-01-01,45.006,7.733333333,4.826666667,5889.5,44.88744,44.7125
1976-04-01,46.372,7.566666667,5.196666667,5932.711,45.13669,45.183
1976-07-01,46.4882,7.733333333,5.283333333,5965.265,45.59615,45.9031
1976-10-01,46.4882,7.766666667,4.873333333,6008.504,46.51967,47.0854
1977-01-01,48.5738,7.5,4.66,6079.494,47.78783,48.131
1977-04-01,50.5828,7.133333333,5.156666667,6197.686,48.87673,49.3428
1977-07-01,50.2277,6.9,5.82,6309.514,49.46247,49.6639
1977-10-01,49.2222,6.666666667,6.513333333,6309.652,49.75222,49.8949
1978-01-01,50.7784,6.333333333,6.756666667,6329.791,49.78193,50.3928
1978-04-01,53.1039,6,7.283333333,6574.39,51.70032,51.9833
1978-07-01,52.9039,6.033333333,8.1,6640.497,52.17044,52.286
1978-10-01,52.7028,5.9,9.583333333,6729.755,52.87374,53.3886
1979-01-01,54.2288,5.866666667,10.07333333,6741.854,53.19705,53.4973
1979-04-01,54.4403,5.7,10.18,6749.063,53.25282,53.3157
1979-07-01,53.6016,5.866666667,10.94666667,6799.2,53.35267,52.9486
1979-10-01,52.7535,5.966666667,13.57666667,6816.203,52.96624,53.2603
1980-01-01,53.9861,6.3,15.04666667,6837.641,53.12934,53.3294
1980-04-01,51.0557,7.333333333,12.68666667,6696.753,51.32111,50.3348
1980-07-01,51.5789,7.666666667,9.836666667,6688.794,50.70036,50.9386
1980-10-01,52.3799,7.4,15.85333333,6813.535,52.09113,52.7685
1981-01-01,53.1613,7.433333333,16.57,6947.042,52.16516,52.5025
1981-04-01,53.568,7.4,17.78,6895.559,52.75997,52.8284
1981-07-01,53.1465,7.4,17.57666667,6978.135,53.14703,52.8514
1981-10-01,51.0823,8.233333333,13.58666667,6902.105,51.94419,51.3274
1982-01-01,51.4502,8.833333333,14.22666667,6794.878,50.84168,50.9104
1982-04-01,50.5834,9.433333333,14.51333333,6825.876,50.1845,49.9692
1982-07-01,49.6519,9.9,11.00666667,6799.781,49.39432,49.226
1982-10-01,47.8291,10.66666667,9.286666667,6802.497,48.6848,48.2424
1983-01-01,49.8125,10.36666667,8.653333333,6892.144,49.16222,49.2654
1983-04-01,51.217,10.13333333,8.803333333,7048.982,50.18991,50.5089
1983-07-01,53.1854,9.366666667,9.46,7189.896,51.81092,52.6303
1983-10-01,52.8819,8.533333333,9.43,7339.893,53.40069,53.5343
1984-01-01,55.7567,7.866666667,9.686666667,7483.371,54.89423,55.1052
1984-04-01,56.645,7.433333333,10.55666667,7612.668,55.71393,55.9085
1984-07-01,56.6633,7.433333333,11.39,7686.059,56.03542,56.0382
1984-10-01,55.542,7.3,9.266666667,7749.151,56.14616,56.2296
1985-01-01,56.9586,7.233333333,8.476666667,7824.247,56.20342,56.4232
1985-04-01,57.163,7.3,7.923333333,7893.136,56.30533,56.3901
1985-07-01,57.1628,7.2,7.9,8013.674,56.32906,56.4983
1985-10-01,56.4734,7.033333333,8.103333333,8073.239,56.58927,57.0458
1986-01-01,56.7545,7.033333333,7.826666667,8148.603,56.79196,56.542
1986-04-01,57.3354,7.166666667,6.92,8185.303,56.69572,56.4976
1986-07-01,57.6097,6.966666667,6.206666667,8263.639,56.91515,56.8532
1986-10-01,57.1457,6.833333333,6.266666667,8308.021,57.31157,57.8623
1987-01-01,58.9968,6.6,6.22,8369.93,58.17881,58.516
1987-04-01,60.5778,6.266666667,6.65,8460.233,59.22845,59.5409
1987-07-01,61.2507,6,6.843333333,8533.635,60.47509,60.6069
1987-10-01,61.2934,5.833333333,6.916666667,8680.162,61.69112,62.119
